"","ilog","rname","rtype","day","cdst","tim","lat","lon","zoom","ext","nt"
"a20131203","346","medium","Mission","20131203","3947","1808","38.8608217","-94.62718985","15","38.7","no notes"
"a20131213","347","short","Mission","20131213","3500","1616","38.86094035","-94.6285788","15","39.3","no notes"
"a20131216","348","flat","Mission","20131216","1764","819","38.85796585","-94.6317231","15","41.2","no notes"
"a20131219","349","medium","Mission","20131219","3921","1786","38.86084255","-94.6271738","15","38.5","no notes"
"a20131221","350","r145","Mission","20131221","4433","1960","38.8625932","-94.6271696","15","37.1","no notes"
"a20140101","351","nobrake1","Mission","20140101","1442","669","38.86067215","-94.6317736","16","41.7","no notes"
"a20140112","352","r143","Mission","20140112","2787","1276","38.86360135","-94.63169365","14","39.5","no notes"
"a20140114","353","flat","Mission","20140114","1796","785","38.85790845","-94.63178145","15","38.7","no notes"
"a20140116","354","medium","Mission","20140116","3889","1757","38.8608214","-94.62719505","15","38.2","no notes"
"a20140118","355","bean5k","Timed5K","20140118","5070","2229","38.96315065","-94.6245066","15","36.6","no notes"
"a20140120","356","nobrake1","Mission","20140120","1471","798","38.8607353","-94.63178495","16","48.7","no notes"
"a20140122","357","nobrake2","Mission","20140122","2312","1128","38.8590849","-94.63182615","15","42.6","no notes"
"a20140125","358","short","Mission","20140125","3505","1643","38.8608855","-94.6285539","15","39.9","no notes"
"a20140128","359","r151","Mission","20140128","1239","562","38.85670435","-94.6317943","16","41.1","no notes"
"a20140202","360","bethesda","outside","20140202","2397","1183","38.99086015","-77.0958833","14","43","no notes"
"a20140219","361","nobrake1","Mission","20140219","1442","674","38.86069005","-94.6318332","16","42","no notes"
"a20140222","362","medium","Mission","20140222","3937","1919","38.86088425","-94.62715795","15","41.2","no notes"
"a20140225","363","flat","Mission","20140225","1773","784","38.8578646","-94.63176105","15","39.2","no notes"
"a20140227","364","r151","Mission","20140227","1244","544","38.8568044","-94.63174555","16","39.6","no notes"
"a20140301","365","nobrake1","Mission","20140301","1494","680","38.8606609","-94.63183045","15","40.8","no notes"
"a20140306","366","flat","Mission","20140306","1792","782","38.8579432","-94.63177315","15","38.7","no notes"
"a20140308","367","double","Mission","20140308","5311","2616","38.86087675","-94.6271766","15","40.9","no notes"
"a20140311","368","short","Mission","20140311","3535","1591","38.86086485","-94.6285926","15","38.3","no notes"
"a20140313","369","big","Mission","20140313","4829","2262","38.86083845","-94.627156","15","39.1","no notes"
"a20140315","370","r143","Mission","20140315","2817","1329","38.86365675","-94.63167885","14","40.7","no notes"
"a20140317","371","Orlando2","outside","20140317","2277","1171","28.36804745","-81.5570931","15","44.9","no notes"
"a20140319","373","Orlando3","outside","20140319","4017","2070","28.36461605","-81.55612335","14","43.5","no notes"
"a20140322","374","Bahamas1","outside","20140322","5009","2522","26.09192315","-77.53937715","15","42","no notes"
"a20140327","375","r151","Mission","20140327","1270","531","38.8567867","-94.6317405","16","37.8","no notes"
"a20140329","376","church","Mission","20140329","6684","3141","38.8687329","-94.63981325","13","38.5","no notes"
"a20140401","377","short","Mission","20140401","3529","1686","38.8608863","-94.62850215","15","40.7","no notes"
"a20140403","378","flat","Mission","20140403","1821","801","38.85790475","-94.63166385","15","38.9","no notes"
"a20140405","379","r138","Mission","20140405","4886","2362","38.8681648","-94.6316216","14","40.3","no notes"
"a20140407","380","medium","Mission","20140407","3928","1836","38.8608639","-94.62714945","15","39.5","no notes"
"a20140410","381","nobrake2","Mission","20140410","2330","1110","38.8590254","-94.631744","15","41.6","no notes"
"a20140412","382","r144","Mission","20140412","6766","3311","38.86382055","-94.6224998","14","40","no notes"
"a20140415","383","short","Mission","20140415","3611","1711","38.8608445","-94.6285384","15","40.3","no notes"
"a20140417","384","bell","Mission","20140417","2943","1316","38.85317735","-94.63164985","14","38.5","no notes"
"a20140419","385","fairway","Mission","20140419","7581","3966","38.8638064","-94.6225162","14","42.5","no notes"
"a20140429","386","r151","Mission","20140429","1304","574","38.8568709","-94.6317033","16","39.8","no notes"
"a20140502","387","flat","Mission","20140502","1786","835","38.8578951","-94.6316908","15","41.4","no notes"
"a20140505","388","r143fix","Mission","20140505","2817","565","38.8636491","-94.63166865","14","17.3","no notes"
"a20140506","389","short","Mission","20140506","3482","1846","38.8608646","-94.6285426","15","45.1","no notes"
"a20140508","390","nobrake2","Mission","20140508","2365","1137","38.8590853","-94.6317118","15","41.9","no notes"
"a20140511","391","r145","Mission","20140511","4478","2236","38.86257205","-94.62716215","15","41.9","no notes"
"a20140513","392","Miami1","outside","20140513","2513","1304","25.7748021","-80.18652485","15","45.1","no notes"
"a20140515","393","Chicago1","outside","20140515","2978","1541","41.8826913","-87.622427","16","44.5","no notes"
"a20140517","394","big","Mission","20140517","5002","2444","38.86088635","-94.6271102","15","40.7","no notes"
"a20140519","395","flat","Mission","20140519","1803","801","38.8579171","-94.6317853","15","39.4","no notes"
"a20140522","396","r151","Mission","20140522","1266","561","38.85679385","-94.63172575","16","40.1","no notes"
"a20140524","397","nobrake2","Mission","20140524","2283","1064","38.8589989","-94.63173305","15","40.7","no notes"
"a20140526","398","medium","Mission","20140526","3919","1894","38.8608786","-94.6271526","15","40.9","no notes"
"a20140528","399","r151","Mission","20140528","1246","526","38.8567828","-94.63167725","16","38.2","no notes"
"a20140531","400","short","Mission","20140531","3488","1733","38.8608522","-94.6284972","15","42.3","no notes"
"a20140604","401","r151","Mission","20140604","1274","586","38.85680165","-94.63183435","16","41.6","no notes"
"a20140606","402","track1","Special","20140606","425","178","38.8379372","-94.65767275","17","40.5","no notes"
"a20140607","403","r143","Mission","20140607","2880","1407","38.8637161","-94.63163005","14","42.1","no notes"
"a20140609","404","flat","Mission","20140609","1791","748","38.8578974","-94.63154785","15","37","no notes"
"a20140611","405","r151","Mission","20140611","1279","571","38.8567277","-94.63178605","16","40.4","no notes"
"a20140614","406","big","Mission","20140614","4904","2458","38.8609034","-94.62717305","15","41.8","no notes"
"a20140616","407","r151","Mission","20140616","1238","564","38.85683285","-94.6317148","16","41.3","no notes"
"a20140618","408","nobrake1","Mission","20140618","1502","704","38.86063345","-94.63180415","15","42","no notes"
"a20140621","409","Timonium1","outside","20140621","2466","1184","39.4994799","-76.6622931","15","41.7","no notes"
"a20140625","410","nobrake2","Mission","20140625","2263","1095","38.85907575","-94.63176285","15","42.3","no notes"
"a20140627","411","medium","Mission","20140627","3912","2079","38.86081995","-94.62718595","15","44.9","no notes"
"a20140629","412","bell","Mission","20140629","2844","1396","38.85337335","-94.63180475","14","42.3","no notes"
"a20140704","413","Ward4M","Timed4M","20140704","6562","3102","38.9688239","-94.603507","14","38.8","no notes"
"a20140706","414","flat","Mission","20140706","1786","834","38.8579235","-94.63180125","15","41.4","no notes"
"a20140708","415","r143","Mission","20140708","2811","1362","38.8636021","-94.63159515","14","41.8","no notes"
"a20140710","416","r151","Mission","20140710","1278","598","38.8567945","-94.63176455","16","42.3","no notes"
"a20140712","417","medium","Mission","20140712","3869","2077","38.86084955","-94.62714895","15","45.4","no notes"
"a20140715","418","mini","Mission","20140715","3307","1581","38.8608611","-94.62857835","15","40.8","no notes"
"a20140717","419","r143","Mission","20140717","2840","1488","38.86356865","-94.63165285","14","45.2","no notes"
"a20140719","420","r138","Mission","20140719","4904","2437","38.8681922","-94.63165935","13","41.5","no notes"
"a20140721","421","flat","Mission","20140721","1837","802","38.857836","-94.63168905","15","38.6","no notes"
"a20140724","422","r151","Mission","20140724","1285","524","38.85677705","-94.63171515","16","36.9","no notes"
"a20140726","423","mini","Mission","20140726","3359","1653","38.8608648","-94.62858005","15","42","no notes"
"a20140728","424","flat","Mission","20140728","1815","772","38.8579006","-94.63171565","15","37.7","no notes"
"a20140730","425","nobrake2","Mission","20140730","2342","1102","38.85901035","-94.63188035","15","41","no notes"
"a20140803","426","Boston1","outside","20140803","2640","1377","42.34709795","-71.03349245","14","45.2","no notes"
"a20140805","427","Boston2","outside","20140805","3244","1432","42.35415605","-71.0603409","14","37.8","no notes"
"a20140809","428","Boston3","outside","20140809","3403","1694","42.3545582","-71.047078","15","42.5","no notes"
"a20140816","429","flat","Mission","20140816","1779","915","38.85792945","-94.63177615","15","45.6","no notes"
"a20140821","430","nobrake2","Mission","20140821","2339","1170","38.8590823","-94.6318458","15","43.6","no notes"
"a20140823","431","r143","Mission","20140823","2809","1383","38.86362795","-94.63161165","14","42.5","no notes"
"a20140826","432","r151","Mission","20140826","1316","546","38.8567895","-94.63176915","16","37.5","no notes"
"a20140828","433","flat","Mission","20140828","1767","833","38.8579609","-94.6317098","15","41.8","no notes"
"a20140830","434","medium","Mission","20140830","3898","1922","38.86084335","-94.6272032","15","41.7","no notes"
"a20140901","435","Leawood5K","Timed5K","20140901","5177","2232","38.92726485","-94.6234986","14","35.9","no notes"
"a20140904","436","mini","Mission","20140904","3252","1618","38.8608551","-94.62849105","15","42.5","no notes"
"a20140906","437","church","Mission","20140906","6529","3173","38.8687742","-94.63967775","13","39.9","no notes"
"a20140908","438","short","Mission","20140908","3477","1617","38.8608227","-94.62856085","15","39.6","no notes"
"a20140910","439","medium","Mission","20140910","3917","1868","38.8608344","-94.62719885","15","40.3","no notes"
"a20140912","440","flat","Mission","20140912","1787","760","38.8579648","-94.6317473","15","37.7","no notes"
"a20140914","441","Plaza10K","Timed10K","20140914","10304","4614","39.038285","-94.58304245","13","35.7","no notes"
"a20140917","442","mini","Mission","20140917","3245","1558","38.86077735","-94.62846955","15","41.1","no notes"
"a20140920","443","SacredSteps","Timed5K","20140920","5098","2176","38.8800217","-94.63943385","14","35.5","no notes"
"a20140922","444","r151","Mission","20140922","1248","542","38.8568335","-94.6317535","16","39.3","no notes"
"a20140924","445","r145","Mission","20140924","4530","2036","38.86255035","-94.62715275","15","37.7","no notes"
"a20140927","446","church","Mission","20140927","6509","3295","38.86880105","-94.6397773","13","41.5","no notes"
"a20140930","447","r143","Mission","20140930","2794","1397","38.86366425","-94.63167445","14","43.1","no notes"
"a20141002","448","r151","Mission","20141002","1207","539","38.85690205","-94.63173665","16","40.5","no notes"
"a20141005","449","KCZoo4M","Timed4M","20141005","6522","2859","39.0045724","-94.52998885","14","36","no notes"
"a20141007","450","flat","Mission","20141007","1778","776","38.85798675","-94.6317131","15","38.7","no notes"
"a20141009","451","nobrake1","Mission","20141009","1569","696","38.8608561","-94.6315092","15","39.6","no notes"
"a20141015","452","nobrake1","Mission","20141015","1428","612","38.8605498","-94.6317658","16","38.5","no notes"
"a20141018","453","medium","Mission","20141018","3687","1694","38.86055025","-94.62708945","15","39","no notes"
"a20141020","454","nobrake2","Mission","20141020","2254","1017","38.8589145","-94.6317765","15","39.4","no notes"
"a20141022","455","short","Mission","20141022","3287","1495","38.8605821","-94.62848185","15","38.9","no notes"
"a20141024","456","TableRock1","outside","20141024","4580","2172","36.5735382","-93.6414707","15","39.7","no notes"
"a20141027","457","flat","Mission","20141027","1814","785","38.85789245","-94.63173115","15","38.3","no notes"
"a20141029","458","double","Mission","20141029","5082","2387","38.86057955","-94.6271534","15","39.1","no notes"
"a20141102","459","r151","Mission","20141102","1238","524","38.85680125","-94.63175265","16","38.4","no notes"
"a20141105","460","short","Mission","20141105","3295","1492","38.860569","-94.6285338","15","38.7","no notes"
"a20141108","461","church","Mission","20141108","6514","3190","38.8687709","-94.63975625","13","40.2","no notes"
"a20141110","462","nobrake2","Mission","20141110","2164","1057","38.8589268","-94.63176535","15","42.8","no notes"
"a20141115","463","r143","Mission","20141115","2824","1322","38.86362645","-94.63166745","14","40.4","no notes"
"a20141120","464","medium","Mission","20141120","3716","1715","38.86066435","-94.6271633","15","39.2","no notes"
"a20141122","465","short","Mission","20141122","3273","1530","38.8605672","-94.6285285","15","40","no notes"
"a20141127","466","Sprint5K","Mission","20141127","5057","2166","38.91961215","-94.65710025","14","35.7","no notes"
"a20141129","467","mini","Mission","20141129","3055","1442","38.86060665","-94.62860315","15","40.5","no notes"
"a20141203","468","short","Mission","20141203","3281","1552","38.8605398","-94.62856305","15","40.4","no notes"
"a20141206","469","medium","Mission","20141206","3815","1741","38.8605694","-94.62716205","15","38.7","no notes"
"a20141208","470","r151","Mission","20141208","1261","523","38.8568576","-94.6317987","16","37.5","no notes"
"a20141211","471","short","Mission","20141211","3353","1536","38.86054805","-94.628585","15","39.1","no notes"
"a20141213","472","big","Mission","20141213","4635","2278","38.8606155","-94.6271864","15","41.1","no notes"
"a20141216","473","r151","Mission","20141216","1241","585","38.85674195","-94.63175875","16","42.7","no notes"
"a20141220","474","medium","Mission","20141220","3724","1737","38.860615","-94.6271728","15","39.6","no notes"
"a20141222","475","mini","Mission","20141222","3027","1501","38.8605878","-94.6285301","15","42.6","no notes"
"a20141225","476","short","Mission","20141225","3292","1523","38.86060205","-94.6284598","15","39.5","no notes"
"a20141227","477","nobrake2","Mission","20141227","2246","1062","38.85887905","-94.63168575","15","41.3","no notes"
"a20141229","478","flat","Mission","20141229","1805","803","38.8578599","-94.6317611","15","39.4","no notes"
"a20150101","479","NewYear5K","Timed5K","20150101","5117","2268","38.876444","-94.6629434","14","36.9","no notes"
"a20150103","480","r143","Mission","20150103","2893","1472","38.8636753","-94.63166025","14","43.8","no notes"
"a20150111","481","r151","Mission","20150111","1250","543","38.85674935","-94.6317437","16","39.3","no notes"
"a20150116","482","short","Mission","20150116","3280","1584","38.86057875","-94.62854825","15","41.3","no notes"
"a20150121","483","r151","Mission","20150121","1283","529","38.85675485","-94.63169455","16","37.3","no notes"
"a20150127","485","medium","Mission","20150127","3879","1774","38.86062915","-94.62718655","15","38.7","no notes"
"a20150129","486","nobrake2","Mission","20150129","2198","1056","38.8589663","-94.63173065","15","42.1","no notes"
"a20150131","487","flat","Mission","20150131","1740","816","38.85787245","-94.6316012","15","41.6","no notes"
"a20150203","488","r151","Mission","20150203","1270","543","38.85682465","-94.63162175","16","38.7","no notes"
"a20150207","489","short","Mission","20150207","3249","1626","38.860627","-94.62850915","15","42.8","no notes"
"a20150210","490","r143","Mission","20150210","2818","1346","38.86361965","-94.63159605","14","41.2","no notes"
"a20150212","491","Scottsdale1","outside","20150212","3960","1908","33.5705546","-111.9216769","15","40.7","no notes"
"a20150214","493","Timed3M","outside","20150214","4679","2076","33.56725825","-111.9198891","16","37.1","no notes"
"a20150218","494","NewOrleans1","outside","20150218","3649","1745","29.9514803","-90.0617191","14","40.6","no notes"
"a20150221","495","NewOrleans2","outside","20150221","2286","452","29.95427345","-90.0616473","15","17.3","no notes"
"a20150307","496","medium","Mission","20150307","3679","1839","38.86059635","-94.62723905","15","42.4","48F. Side stitch at 1K. No joint pains"
"a20150311","497","mini","Mission","20150311","3085","1477","38.86064895","-94.62856515","15","41.1","54F. Brief joint pains at the start"
"a20150315","498","sanantonio1","outside","20150315","3027","1477","29.43002335","-98.48885615","15","41.9","63F and humid. GPS glitch at start. No joint pains."
"a20150317","499","sanantonio2","outside","20150317","5669","3130","29.43203985","-98.48664785","14","45.7","66F and humid. GPS glitch at start. Sore muscles at start. Brief left ankle pain at 0.5K."
"a20150319","500","sanantonio3","outside","20150319","8665","4654","29.4369565","-98.48443415","13","43.3","43F. Sore muscles near start. Dizzy after run ended."
"a20150321","501","okc1","outside","20150321","4152","1942","35.2271299","-97.49009885","14","39.4","57F. Slight pain in both ankles."
"a20150323","502","short","Mission","20150323","3314","1599","38.8605573","-94.6285655","15","41.2","37F. Alternated fast and slow minutes. No joint pains."
"a20150327","503","medium","Mission","20150327","3812","1817","38.8604363","-94.62703455","15","40.4","70F. Dry mouth and throat at 2.5K. No joint pains."
"a20150331","504","mini","Mission","20150331","3042","1514","38.8605964","-94.62858975","15","42.7","54F. Slow pace to loosen joints from last evening's kickball session."
"a20150401","505","r151","Mission","20150401","1247","636","38.85681715","-94.63172685","16","46.2","28F. Sore muscles at 1.5K, sore left ankle at 3K, and dizzy at 5K. Alternated fast and slow minutes."
"a20150404","506","double","Mission","20150404","5207","2503","38.8606099","-94.62716195","15","40","61F, cloudy, and muggy. Out of shape but no joint pain."
"a20150425","507","bell","Mission","20150425","2880","1568","38.8532884","-94.63169085","14","46.9","72F, sunny, and hot! Stopped at 0.2K for a chat. Left ankle and foot pain and dizziness."
"a20150502","508","medium","Mission","20150502","3682","2028","38.8605984","-94.62715","15","46.7","63F, sunny, and humid. Tried fast pace but still out of shape. Left ankle twinge."
"a20150505","509","nobrake2","Mission","20150505","2200","1113","38.8588878","-94.6317619","15","44.3","70F, overcast, and humid. Out of shape but no joint pains."
"a20150509","510","short","Mission","20150509","3288","1711","38.8605987","-94.62848155","15","44.5","45F. Alternate fast and slow minutes."
"a20150512","511","mini","Mission","20150512","3045","1486","38.86057265","-94.62849975","15","41.9","57F and rain. Slow start but alternated fast and slow minutes. Sore calves."
"a20150514","512","flat","Mission","20150514","1754","865","38.8578826","-94.6317683","15","43.8","73F and muggy. Slow steady pace. No joint or muscle pains."
"a20150516","513","nobrake2","Mission","20150516","2261","1157","38.85888055","-94.6317659","15","44.7","68F and sunny. Dog spooked by lawn mowers near start. No joint pains."
"a20150518","514","r151","Mission","20150518","1253","629","38.8568828","-94.63176965","16","45.5","48F and post rainstorm. Sore left ankle and right calf. Glitch at start (11 kph!)."
"a20150521","515","flat","Mission","20150521","1832","904","38.8579737","-94.63178035","15","43.7","no notes."
"a20150525","516","mini","Mission","20150525","3061","1621","38.86057985","-94.6284559","15","45.4","71F and light rain. No joint pains. Ran out of gas on no brake hill."
"a20150613","517","mini","Mission","20150613","3044","1557","38.8606288","-94.62844625","15","43.9","72F and cloudy. Very dizzy at 3.75K."
"a20150615","518","r145","Mission","20150615","4661","2614","38.8625919","-94.6271664","15","46.9","73F, cloudy, and humid. Sore muscles at the start. Two poop breaks."
"a20150617","519","short","Mission","20150617","3284","1766","38.8606379","-94.6285071","15","46","72F and humid. Dizzy for most of the run. No joint pain."
"a20150620","520","midnight5K","Timed5K","20150620","5119","2472","38.92028505","-94.6313833","14","40.2","77F and sunny. Dog did well during the run but flopped down twice in the grass during the cool down."
"a20150622","521","short","Mission","20150622","3313","1742","38.8605776","-94.62855305","15","44.9","Dawn run. 69F and muggy. No joint pain or dizziness."
"a20150624","522","r143","Mission","20150624","2842","1460","38.86367255","-94.6316573","14","44.3","63F and early morning sun. Left heel twinge at 3K."
"a20150627","523","church","Mission","20150627","6625","3587","38.86874885","-94.63963335","13","44.4","75F and sunny. Slight twinge in left heel at 0.5K."
"a20150629","524","nobrake2","Mission","20150629","2206","1172","38.85893415","-94.63173095","15","46.5","Dawn run. 75F and humid. Left heel twinge just at start. Very much out of shape."
"a20150702","525","r143","Mission","20150702","2793","1542","38.86355575","-94.6316769","14","47.6","66F. Tired and left heel pain during warmup. Traffic jam at start (1400 runners). Dizzy at 2.5K."
"a20150704","526","Ward4M","Timed4M","20150704","6617","3199","38.96885515","-94.60342445","14","39.6","Dawn run, 72F and humid. Out of shape but no joint pain."
"a20150706","527","r143","Mission","20150706","2809","1567","38.86363965","-94.63161315","14","48.1","Unusually cool 66F. Sore calves at 2K. Dog flopped down afterwards."
"a20150709","528","medium","Mission","20150709","3728","1904","38.86057155","-94.6271958","15","43.3","75F, sunny, and humid. Left dog behind after warmup. Dizzy at 3.5K. No joint pain."
"a20150711","529","big","Mission","20150711","4640","2442","38.86057985","-94.627182","15","44.1","Very hot even in mid-morning, 82F. Slight pain in left heel. Bathroom break big GPS error at 3.8K."
"a20150713","530","steeple1","Mission","20150713","5443","3028","38.86371655","-94.6285396","14","46.1","75F. Early morning sun. Dog was holding back but just during first leg. No joint pain."
"a20150715","531","flat","Mission","20150715","1745","914","38.85797615","-94.63172745","15","46.5","Early morning but still hot 75F and very humid. Left dog behind. Sore but no joint pains."
"a20150718","532","r143","Mission","20150718","2800","1525","38.8634913","-94.63164615","14","47","81F and midday sun. No dog. Relaxed pace. Very sore muscles but no joint pain."
"a20150721","533","roepark","nearby","20150721","5140","2757","38.9351331","-94.64406475","14","44.6","81F and midday sun. Alternated fast and slow minutes until near end. No joint pains, no dizziness."
"a20150723","534","leawoodpark","nearby","20150723","4878","2398","38.9329475","-94.63181615","14","41","81F and midday sun. Alternated fast and slow. Low back pain, maybe unrelated."
"a20150725","535","r143","Mission","20150725","2754","1449","38.8635769","-94.6316925","14","45.4","Heat advisory, 93F, humid, midday sun. Tried alternate fast/slow minutes. No joint pains."
"a20150728","536","short","Mission","20150728","3206","1740","38.86061455","-94.62848115","15","46.4","81F and midday sun. Alternate fast/slow. Brief left heel pain early. No dog."
"a20150730","537","r145","Mission","20150730","4198","2197","38.8626015","-94.62858055","15","44.1","79F and mid morning sun. Slow and steady up to 4K. Chest muscle pain before run."
"a20150801","538","r138","Mission","20150801","4928","2729","38.8681976","-94.63170365","14","46.2","Late morning, post storm and cloudy. 73F. Dog ran with me. Left ankle pain at 4K. Dizzy at end."
"a20150808","539","school","Mission","20150808","4938","2715","38.86623415","-94.62881465","14","45.9","75F and early morning sun. Ran with dog, one poop break at 17 minutes. Brief right knee twinge."
"a20150810","540","nobrake2","Mission","20150810","2233","1222","38.8588927","-94.6317607","15","47.9","70F and morning sun. Left ankle twinge at start. One poop break at 8 minutes. Alternated fast/slow."
"a20150813","541","medium","Mission","20150813","3705","1965","38.86055035","-94.62720845","15","45","79F and morning sun. Took the dog, but she did not tolerate heat well. Sore muscle in lower back."
"a20150815","542","r143","Mission","20150815","2813","1562","38.8636375","-94.6316681","14","47.9","75F and morning sun. No dog. Alternate fast/slow. Left ankle and left lower back pain."
"a20150817","543","steeple1","Mission","20150817","5129","2705","38.8636834","-94.62854535","14","43.9","57F and cloudy. Took dog and she enjoyed run. Slow and steady pace. No joint or muscle pain."
"a20150819","544","steeple2","Mission","20150819","5329","2798","38.8636633","-94.6272384","14","43.6","79F and midday sun. Left dog behind. Slow and steady pace. Quick bathroom break. No pains."
"a20150821","545","double","Mission","20150821","5108","2833","38.86052935","-94.6271613","15","46.2","75F and sunny. Took dog. Borderline but okay. Slow and steady pace. Left ankle twinge at 3K."
"a20150823","546","short","Mission","20150823","3234","1740","38.86058615","-94.6285319","15","46","57F and sunny. Dog was mostly okay. Short detour and bathroom break. Very tired but no joint pains."
"a20150825","547","fairwayx","Mission","20150825","8053","4395","38.86379735","-94.62253535","14","44.2","72F, partly cloudy, and humid. Took dog and she was mostly okay. Dizzy at 3.3K. No joint pains."
"a20150828","548","medium","Mission","20150828","3768","1952","38.8605865","-94.62717755","15","43.9","66F and early morning fog. Dog was fine. Sore back calves before 1K. No joint pains."
"a20150830","549","r143","Mission","20150830","2818","1489","38.86358015","-94.63167505","14","45.6","88F and midday sun. No dog. Ran fast for first 9/10 minutes. Sore left ankle at 1K and dizzy at 2K.."
"a20150902","550","mini","Mission","20150902","3030","1569","38.86057715","-94.62851795","15","44.5","81F and sunny. No dog. Ran first 2K in 16 min. Brief left ankle pain at 3 min. Very dizzy at 2.5K.."
"a20150907","552","Leawood5K","Timed5K","20150907","5073","2420","38.9272926","-94.62351005","14","39.7","73F and light to moderate rain. Left ankle pain that started during warmup."
"a20150911","553","short","Mission","20150911","3354","1551","38.86063625","-94.62852495","15","39.5","73F and sunny. No dog. Fast pace for first 2K, moderate pace after. Sore left heel during warmup."
"a20150913","554","Plaza10K","Timed10K","20150913","10181","4771","39.0381971","-94.5830541","13","37.4","59F and partly cloudy. Left ankle pain and very sore calves right from the start."
"a20150915","555","mini","Mission","20150915","3034","1639","38.8606194","-94.62857045","15","46.4","64F, cloudy, handful of raindrops at playground. Slow but muscles very sore. Left heel pain early."
"a20150917","556","block","Mission","20150917","3939","2167","38.8637493","-94.6396606","14","46.5","72F and early sun. Slow and steady. Dog loved the run. Sore calves at 1.5K and sore left heel at 2K."
"a20150919","557","kenneth","Mission","20150919","9322","5112","38.86628445","-94.62256315","14","44","52F and morning sun. Alternate fast and slow. Dog did well mostly. Sore left hip and knees at 8K."
"a20150922","558","mini","Mission","20150922","3084","1473","38.86063925","-94.6285413","15","41","64F and early morning sun. Dog was hesitant, but did fine. Fast pace. No serious aches."
"b20150922","559","medium","Mission","20150924","3690","1865","38.8606504","-94.62718035","15","42.9","64F and cloudy. Dog was mostly okay. Tried fast pace. Right ankle twinge."
"c20150922","560","KCZoo4M","Timed4M","20150926","6551","3135","39.00458655","-94.5300551","14","39.2","63F and morning sun. Sore left ankle and calves at start. Sore right knee at end."
"d20150922","561","short","Mission","20150928","3275","1727","38.8605684","-94.62843","15","45.1","59F and morning sun. Dog was reluctant but did fine. Slow steady pace. No joint pains."
"a20150930","562","mini","Mission","20150930","3105","1507","38.860646","-94.62846175","15","41.6","70F and midday sun. Left dog behind. Alternated fast and slow minutes. Sore calves, no joint pains."
"a20151003","563","church2","Mission","20151003","6430","3409","38.86966865","-94.63976645","13","43.5","43F and morning sun. Hands very cold. Dog came and did very well. Alternated fast/slow. No pains."
"a20151005","564","medium","Mission","20151005","3720","1784","38.86055","-94.6272013","15","40.7","54F and cloudy. The dog did well. Tried consistent fast pace. Left ankle pain midway."
"a20151007","565","steeple1","Mission","20151007","5074","2741","38.8637265","-94.62847385","14","45","66F and midday sun. Dog did well. Ran 1 fast/2 later 1 fast/4 minutes. No pains or aches."
"a20151010","566","olathe5k","Mission","20151010","5090","2368","38.88734095","-94.768742","14","38.7","40s and early morning sun. 5K race that allowed dogs."
"a20151013","567","medium","Mission","20151013","3742","1842","38.8605743","-94.6271443","15","41.7","46F and morning sun. Dog was reluctant runner at first. Right ankle pain at 2K."
"a20151015","568","r143x","Mission","20151015","1955","1017","38.8617195","-94.6316929","15","45.9","70F and cloudy. Evening run. Dog was a bit reluctant at first. Turned around because of sprinklers."
"a20151017","569","church2","Mission","20151017","6436","3251","38.8697556","-94.6397034","13","41.5","45F and sunny. Alternated fast/slow minutes. No joint pains."
"a20151019","570","short","Mission","20151019","3338","1630","38.86051685","-94.6285572","15","41.7","55F and sunny. Dog was fine. Alternated fast/slow minutes. Sore back calves but no joint pains."
"a20151021","571","medium","Mission","20151021","3750","1839","38.860529","-94.62714165","15","41.6","66F and sunny. Dog reluctant at first. Alternated fast/slow minutes. Sore calves, no joint pains."
"a20151024","572","block","Mission","20151024","3945","2047","38.86377515","-94.63976035","14","43.9","55F and cloudy. New shoes. Numb middle toes on right and ankle pain on left."
"a20151026","573","short","Mission","20151026","3341","1610","38.86059445","-94.6285737","15","41.1","45F and sunny. Alternated fast/slow minutes. Right shoe still a bit tight, but better. No pains."
"a20151028","574","short","Mission","20151028","3318","1646","38.8605611","-94.6285435","15","42.4","59F and sunny. Slow, steady pace. Left ankle pain and numb right toes."
"a20151030","575","mini","Mission","20151030","3116","1511","38.86056815","-94.62851125","15","41.6","45F and rain. Wore running jacket and shorts. Dog was fine. Tried fast pace. Left heel pain."
"a20151101","576","cliff","Timed8K","20151101","8231","3772","39.11578855","-94.54474645","13","37.1","54F and sunny. Dizzy at 2K, untied shoe at 3.8K. No joint pains."
"a20151103","577","r143","Mission","20151103","2812","1506","38.86359955","-94.6316284","14","46.2","48F at dawn. Slow steady pace. New shoes starting to fit better."
"a20151106","578","block","Mission","20151106","3916","2024","38.86373975","-94.6397083","14","43.7","65F, humid, after sunset. Traffic problems at 143rd near Nall. Same shoe problems."
"a20151107","579","church2","Mission","20151107","6480","3242","38.8697148","-94.6397119","13","41","41F. Dawn run. Old shoes. No aches or joint pains."
"a20151109","580","big","Mission","20151109","4475","2349","38.860594","-94.62713615","15","44","34F and morning sun. Dog puked at 3K. Old shoes, no aches or joint pains."
"a20151111","581","mini","Mission","20151111","3067","1539","38.86056235","-94.62856155","15","43.1","63F and cloudy. Storm threatened but never came. New shoes again but only minor problems."
"a20151114","582","church2","Mission","20151114","6516","3383","38.86965265","-94.6397905","13","42.6","43F at start, 50F at end. Slow steady pace. Old shoes. Sore back calves but no joint pains."
