"","ilog","rname","rtype","day","cdst","tim","lat","lon","zoom","ext","nt"
"a20120320","64","r143","Mission","20120320","2773","1280","38.8635925","-94.6314869","14","39.9","no notes"
"a20120322","65","r151","Mission","20120322","1245","529","38.8568016","-94.6317808","16","38.5","no notes"
"a20120324","66","r138","Mission","20120324","5030","2539","38.8681693","-94.6324815","13","42","no notes"
"a20120327","67","flat","Mission","20120327","1787","786","38.8579211","-94.6318208","15","39","no notes"
"a20120330","68","r143","Mission","20120330","2808","1309","38.86357525","-94.63171125","14","40.2","no notes"
"a20120401","69","Indian5K","Timed5K","20120401","5110","2430","38.9378336","-94.6799279","14","39.6","no notes"
"a20120406","70","IowaCity","outside","20120406","3484","1743","41.6628443","-91.54046375","15","42.6","no notes"
"a20120408","71","r151","Mission","20120408","1259","481","38.8567913","-94.6318545","16","34.6","no notes"
"a20120410","72","steeplex","Mission","20120410","3012","1276","38.86379985","-94.62885225","14","36.4","no notes"
"a20120412","73","r151","Mission","20120412","1300","505","38.85679495","-94.63175055","16","35.1","no notes"
"a20120414","74","flat","Mission","20120414","1804","735","38.8579221","-94.6317699","15","36.1","no notes"
"a20120417","75","shortx","Mission","20120417","1878","803","38.86176765","-94.6273861","15","37.8","no notes"
"a20120419","76","r151","Mission","20120419","1239","506","38.8567371","-94.6317658","16","37","no notes"
"a20120421","77","steeple1","Mission","20120421","5126","2274","38.86377085","-94.62856765","14","36.9","no notes"
"a20120424","80","medium","Mission","20120424","3899","1877","38.86085515","-94.62714855","15","40.7","no notes"
"a20120503","82","short","Mission","20120503","3491","1643","38.86084535","-94.62856465","15","40.1","no notes"
"a20120505","83","church","Mission","20120505","6271","3082","38.86876395","-94.6397398","13","40.4","no notes"
"a20120508","84","medium","Mission","20120508","3876","1715","38.8608223","-94.6271841","15","37.4","no notes"
"a20120510","85","short","Mission","20120510","3531","1505","38.86090755","-94.6284682","15","36.3","no notes"
"a20120512","86","church","Mission","20120512","6329","2887","38.86873185","-94.63976315","13","37.5","no notes"
"a20120515","87","Portland","outside","20120515","4381","2326","45.51501725","-122.6722113","14","44.6","no notes"
"a20120518","90","Portland","outside","20120518","2037","965","45.5150313","-122.6705747","15","41.7","no notes"
"a20120522","91","flat","Mission","20120522","1820","732","38.857909","-94.6317585","15","35.6","no notes"
"a20120524","92","nobrake2","Mission","20120524","2301","1086","38.85908625","-94.63177585","15","41.2","no notes"
"a20120527","93","medium","Mission","20120527","3948","1866","38.86089245","-94.62715365","15","39.9","no notes"
"a20120529","94","flat","Mission","20120529","1807","713","38.8578902","-94.6318033","15","35","no notes"
"a20120531","95","r151","Mission","20120531","1267","505","38.85681305","-94.6318024","16","36.1","no notes"
"a20120602","96","Heritage5K","Timed5K","20120602","5025","2045","38.83523","-94.7492516","15","33.9","no notes"
"a20120607","98","r143","Mission","20120607","2805","1193","38.8634315","-94.631616","14","36.7","no notes"
"a20120611","99","Paris","outside","20120611","1630","993","48.8556744","2.29931175","15","54.3","no notes"
"a20120617","101","short","Mission","20120617","3532","1573","38.8608412","-94.62853535","15","37.9","no notes"
"a20120621","102","nobrake2","Mission","20120621","2334","1088","38.85909985","-94.63178405","15","40.7","no notes"
"a20120623","103","steeple1","Mission","20120623","5227","2420","38.8637748","-94.62851875","14","38.5","no notes"
